videoId,videoComments,videoLikes,videoViews
wlS_fWxIPyQ,99,3457,254639
BotYLBQfd5M,151,3882,102350
xx4Vkc5RrWY,116,2433,147372
bjsJOl8gz5k,62,2193,152984
CTu0qnuMxgA,361,1604,189767
V20ZZt8lVxM,59,1088,28466
AuqZ4recf0s,1007,28216,553151
tW1BWtQRZ2M,136,3657,224282
QUClKFFn1Vk,136,4542,253787
nxFG5xdpDto,453,14842,450455
r_NxVNbA034,42,520,12026
czQO1_GEEos,70,2675,178218
metQ-DtQISo,149,496,20246
J3nFOPoVnPw,61,2149,134966
AdkN4NA-TCc,345,437,11461
sJR-1yz7mnI,54,1291,93042
McBWLEoY9fk,207,4818,209207
_8TJTi3WMjw,139,322,18091
ZU12u6-ewP0,65,1268,43469
FNfBR7ZnyWo,132,3926,103855
OIjV_V8CpYs,61,958,43131
pXYJUrpQgzg,37,377,17925
XAq82lomqXo,48,810,26432
D2V1okCEsiE,215,7735,313638
sXqWrtUseK8,31,357,27284
w8wGej-WN64,63,1556,35957
OFyyWcw2cyM,135,3145,167448
Bcw8S449QW4,80,1602,70109
11unm2hmvOQ,403,17138,682983
QdBy02ExhGI,157,3938,231680
aDQzT9c-AoM,50,299,7323
UbGkColvs8g,104,307,11066
ABz_VHBs0LE,43,641,43364
R64Lh1Qwl_0,149,3555,195215
whmI0WHuIK4,38,1391,69107
GxDsZ8sakOQ,214,1469,25373
Vv_eMSknucY,66,2360,124036
CgmvAMiVKFE,132,1907,88018
biWGL2Wa7vw,53,372,11703
AWKCCK5YHsE,85,2698,157506
N7RU6W4hAMI,285,8080,347887
atJmJ8tNc3U,67,551,40529
z9myrLOF_1M,84,2083,97596
oHmECrQdFBQ,54,376,10824
CK0ExcCWDP4,87,1006,54629
QlWYS5UN0Vg,44,304,19004
9SD95yskEfU,58,1073,29949
GE3-DJggRg8,189,817,27012
c_6cJSTuUBY,37,584,32952
9di4_ZJqawU,42,922,24770
qYPEtte_xjk,159,1097,39853
8_ndFqeivKk,506,4695,164394
iu2-G_5YkEo,92,2136,106426
Ea_KAcdv1vs,293,6489,346592
rcxXiLhxhsk,37,1480,67684
Ul293o4Ed7s,37,629,18314
NeAhhBRHy4E,87,473,23835
UeydWKkjwwE,85,1046,48390
ZkZuVQ-vyv0,50,482,34551
zxo3T4aQj6Q,87,1109,77807
0-Vj5xpjnag,50,222,11345
75OJvlhFUMY,81,2739,181568
eaVjSisxKis,36,971,23829
38SUUaMX5Rg,257,7160,232110
1OMmbtVmmbg,55,1767,108264
Otde6VGvhWM,126,2662,177435
OSJOBH2-a9Y,115,1402,85464
IkvwXPEBlNo,84,2671,155231
o_Ro0l-bTBo,50,488,21785
CUAhpiRUOy0,611,3685,185150
IKgBLTeQQL8,81,4372,219967
6BERouEM_bA,43,1193,57719
fA5TSFELkC0,166,2388,118857
sPzPEeJ4OQ4,97,2180,146734
6WDFfaYtN6s,177,3541,294384
llDretTTw30,42,436,14530
-Bjko05HKWM,45,670,34038
9oALxmc5yEw,56,742,32580
e83XI1ha288,42,641,29994
SCMSBGY4l50,133,1080,20615
bf7pCxj6mEg,64,1501,89740
ITyGQpyMV_w,51,1161,20888
wTF6vzS9fy4,94,4106,253952
SXrXUqDjICA,122,4071,236592
zII6KLR4Lb4,154,6281,338369
gipPw4qt8ho,74,430,13447
GGZfVeZs_v4,78,2256,203241
JLk0ee_zuOM,51,2252,111655
mlxwAPTjiCA,70,2973,141651
NAPhUDjgG_s,90,1691,107969
8Jo4H1uJLWc,64,1511,44388
OeOtegDhVzU,66,1173,32721
6ZVf1jnEKGI,71,3051,202650
Js3GLb1xPhc,333,5963,236046
0T9VLk0jLzQ,47,474,16461
UbvkhuqVqUI,137,1887,114164
CKLwvuKWQjo,116,2811,129596
xSXGcuiEzUc,96,1473,43811
_0v1UK7smBc,209,1298,77637
H9yACitf-KM,231,9317,427048
T4y25jc5NyM,71,955,38901
BqzgUnrNhFM,466,8383,310694
CEQ872lrExA,141,1584,51387
qNfa7S9jdt4,61,1740,46741
yz_aP0ztF9Y,45,333,8679
HbLA-8vvc_U,64,1780,46707
9HomdnM12o4,109,2221,123043
L_xBe7MbPwk,183,5830,281295
71oNiqPoKD8,139,6333,349749
cnY6jQlJcQc,37,304,18092
IaDS2y6hVUc,52,252,8474
pxk1Fr33-L4,130,2331,130775
otolSnbanQk,96,3203,165037
NLRO1-jp5F8,240,6821,388186
p7pYiynUNAo,37,573,29861
u6I8HCJlIk0,30,641,51112
idXEk3MjC9M,69,2047,94321
PUBZC2MJ50Y,106,4173,223357
0LE5XrxGvbo,48,953,51803
uaoj4cN2oYs,66,2283,93505
f-AXdiCyiT8,163,2102,86528
UWA2wHmajFk,43,305,19826
hLDDt_XUeMA,103,959,27952
9ns6FjpUd40,62,894,34894
DWsDqKlW7Z4,74,2314,148778
uTFU7qThylE,52,558,40391
cUi9gsxRjp0,31,301,9027
UQOTNkq0X48,81,3585,176188
Vu87-pxg2s4,80,738,14155
9jA0KjS7V_c,99,3968,271282
yxwS8Z7v880,51,516,12056
h-LGjJ_oANs,108,1842,93830
RZ2Vu8z-P1Q,87,549,31699
1E7NU-uWalY,94,4459,262016
FndwYNcVe0U,213,3424,163082
vtm35gVP8JU,323,4514,302013
6fUYt1alA1U,197,6034,271143
U72q95dHpRo,48,751,53709
wl9zCLyBDU4,52,1712,52480
mHPpCXqQd7Y,123,3013,159228
uMlU2JaiOd8,85,2193,128517
p7V4Aa7qEpw,251,3894,260291
htXcQPsaGWw,54,868,56335
iUutXUIwAvw,55,2239,86344
UifWm9h96Ec,49,1773,65783
8LZYMd4MYI0,49,649,19966
GvftKv9uctk,141,4317,197501
ISIiURpbKlY,81,975,26608
VOpETRQGXy0,171,5563,322369
erUfLIi9OFM,162,1706,97721
S0zFUubITQc,53,1415,31861
8jfG0R_RIl8,96,1286,39536
nQV5_Eb-mhk,45,779,33606
4F-cwOkMdTE,76,1024,66926
p1bfK8ZJgkE,277,3186,218558
MoG_8V_b_8A,51,1420,44252
uuYEQqrExBQ,56,803,25795
o4ZhXSVuPyc,90,1975,90981
eYRBWM9Mvuc,56,680,31597
eh-muwX6qbQ,83,2687,110707
se_pst_Fz0g,96,1427,33722
3mi-Vh9Rzkg,79,646,14583
fxw_Ak4t-LY,43,679,40361
X7Zd4VyUgL0,79,2232,76869
86BKEv0X2xU,161,2271,116037
MPnNC6kkNC4,52,1945,92601
3OP39y4dO_Y,68,1245,74065
CRB266Eyjkg,254,4648,217445
hH4WkgILUD4,174,2724,119893
b71kL6Z00yM,106,2621,160659
4qysCv3LitU,67,1697,40472
BIgvIrCGBZE,38,364,19746
UXIrhWS0mD8,57,1098,57069
Le-A72NjaWs,142,3768,241438
cqndT517NcQ,64,556,32136
-PSq_ilkvwI,117,1750,35731
-dsoGHvk7II,83,1514,76582
mlumJPFvooQ,230,3629,347359
qZWymdgDLv0,70,649,28095
l5a_uKnbEr4,38,1031,48209
kSr1dXRgcyw,31,596,20397
OTPz5plKb40,689,5126,201165
rLfaX6JtoDg,88,1502,52375
-wcutSQGhhw,60,893,25966
vmy3HgaKJsY,33,780,29850
HFfXvfFe9F8,63,1119,51905
p4pHsuEf4Ms,162,4994,205535
7062skdX05Y,177,5650,239414
BoKLMehRahw,64,1146,35730
QQdiHrIc84o,60,714,38705
gBLyzIWUAOY,119,2097,53799
fKz-SgScM3Q,55,1168,66238
