,videoId,videoDuration,videoQuality,videoKind
394,U-Q1QUt-EMM,12495.0,hd,youtube#video
395,_A6kjew81rA,1001.0,hd,youtube#video
396,pDw_JHHvj-0,4807.0,hd,youtube#video
397,envtdjAfh64,2821.0,hd,youtube#video
398,MfMAaKRXDhE,26.0,hd,youtube#video
399,r-cjv235TSQ,183.0,hd,youtube#video
400,UgqzpSIj5eU,42898.0,hd,youtube#video
401,aeWnO1zTblI,49.0,hd,youtube#video
402,JAjjk9RQoS8,42897.0,hd,youtube#video
403,G9S1UEe2FH0,958.0,hd,youtube#video
404,xYaAgEUfX6A,58.0,hd,youtube#video
405,qMVg6hxWW3M,174.0,hd,youtube#video
406,ee_Cz7A3MSA,51.0,hd,youtube#video
407,njikUR3PUz0,11666.0,hd,youtube#video
408,PI8RSAWOBYY,34.0,hd,youtube#video
409,_wK6dk5zsb4,59.0,hd,youtube#video
410,GmHXS6pKojE,198.0,hd,youtube#video
411,tvevJWVig1I,116.0,hd,youtube#video
412,KLlRt2FwUS8,2771.0,hd,youtube#video
413,ObXwQooXdGc,37731.0,hd,youtube#video
414,V-AnlaME-Fo,130.0,hd,youtube#video
415,DEN-MYlOrgo,185.0,hd,youtube#video
416,Ijm26_PnxMM,11578.0,hd,youtube#video
417,4bL-y8BXhRY,126.0,hd,youtube#video
418,vzKAKDqrtD0,79.0,hd,youtube#video
419,ITXXjh9LnWY,37.0,hd,youtube#video
420,jnznFI8OYBc,76.0,hd,youtube#video
421,ZAbUyemZJtU,49.0,hd,youtube#video
422,ZTxk6M7cKvc,637.0,hd,youtube#video
423,iQ_GVUkXRjw,43.0,hd,youtube#video
424,WPDhkb73yTk,52.0,hd,youtube#video
425,ljC_Rx3HAnM,161.0,hd,youtube#video
426,TIqqQEdu_ao,601.0,hd,youtube#video
427,CxEI10m6NmE,45.0,hd,youtube#video
428,m5qq1WtxfPM,58.0,hd,youtube#video
429,VOq4P7XhZ-Q,31105.0,hd,youtube#video
430,C-ks6xRKMyw,45.0,hd,youtube#video
431,B4FmXCGKsEI,95.0,hd,youtube#video
432,g1l0G-2aShE,49.0,hd,youtube#video
433,69sWRwCPcto,130.0,hd,youtube#video
434,wbPmhAA5og0,57.0,hd,youtube#video
435,Ogm-j7lTaDU,35.0,hd,youtube#video
436,vqIQaFSFCRE,10616.0,hd,youtube#video
437,6uF-aIHXp6I,32.0,hd,youtube#video
438,aGZ-UEPcQ0o,248.0,hd,youtube#video
439,uQ0nOSDc4Ps,133.0,hd,youtube#video
440,1cJgcMfiQng,68.0,hd,youtube#video
441,bsfPtslVXyw,170.0,hd,youtube#video
442,tqVtGLzuZMs,35.0,hd,youtube#video
443,TeW6S86mhIc,416.0,hd,youtube#video
444,ZIu89dAYKqk,163.0,hd,youtube#video
445,A0gGTqQESG8,56.0,hd,youtube#video
446,mdC5BcDU6ck,58.0,hd,youtube#video
447,xoelhgqosl8,32.0,hd,youtube#video
448,5wWmsx6iiqk,80.0,hd,youtube#video
449,6GjCVt96lH4,29.0,hd,youtube#video
450,vWTyBh53XlY,76.0,hd,youtube#video
451,_ZE8p_1RvNc,12385.0,hd,youtube#video
452,Jsv0Z5x_OjU,27.0,hd,youtube#video
453,BcUY4npm9ik,133.0,hd,youtube#video
454,17TAeXyQSvk,1618.0,hd,youtube#video
455,uzfVnn_Nsk4,3035.0,hd,youtube#video
456,mWxOREAolRw,55.0,hd,youtube#video
457,09tg5fU4T6A,4729.0,hd,youtube#video
458,Jr22Hv4mOgo,16.0,hd,youtube#video
459,oCFPuBNIjEc,36.0,hd,youtube#video
460,feoiTRbOSVE,58.0,hd,youtube#video
461,XFDGl0nHokU,42.0,hd,youtube#video
462,T3KSkw1AR6A,45.0,hd,youtube#video
463,eN5LMamJRA4,33.0,hd,youtube#video
464,dso0t55I_pg,21.0,hd,youtube#video
465,plxgL3ta8N4,58.0,hd,youtube#video
466,eSVq6WrJBN8,180.0,hd,youtube#video
467,fyc1rr9z_8A,182.0,hd,youtube#video
468,TPhIr_ckLB8,733.0,hd,youtube#video
469,w--rj354ehE,432.0,hd,youtube#video
470,YyqbITTHr0g,42.0,hd,youtube#video
471,S-Zx4ktkZZs,18.0,hd,youtube#video
472,uaJzwMOnYWk,40.0,hd,youtube#video
473,rEqnomqh7Ew,41.0,hd,youtube#video
474,RBO3Gzhu2nc,687.0,hd,youtube#video
475,_Qq9Ni8cZLY,50.0,hd,youtube#video
476,40hYyNaxuZs,30.0,hd,youtube#video
477,Etf1Q1UOJPE,42.0,hd,youtube#video
478,7mgUndrPae4,653.0,hd,youtube#video
479,hcGClR30o0I,144.0,hd,youtube#video
480,_nhlsYbwCiQ,110.0,hd,youtube#video
481,Rrnk53UkcPo,46.0,hd,youtube#video
482,jacfuHvUxdM,36.0,hd,youtube#video
483,4lj8LFmz9n4,387.0,hd,youtube#video
484,aIWt_8MLOT0,7946.0,hd,youtube#video
485,Nty4OPHyBI0,68.0,hd,youtube#video
486,QvEdrR840uw,23281.0,hd,youtube#video
487,oObIl-N6dOs,166.0,hd,youtube#video
488,tQHbJS3_8TU,80.0,hd,youtube#video
489,8PVRIPwvNGs,193.0,hd,youtube#video
490,zUrWvqNLzdM,73.0,hd,youtube#video
491,DdFgdor5Ziw,164.0,hd,youtube#video
492,pH8zlh-NMuc,68.0,hd,youtube#video
493,h9xTG4TR5is,111.0,hd,youtube#video
494,bJ1bWyPJeu0,59.0,hd,youtube#video
495,RPj7qsKCt0U,59.0,hd,youtube#video
496,PBp3XAKSBv4,13816.0,hd,youtube#video
497,oA4Rc_eTLpU,58.0,hd,youtube#video
498,K2FCyZK_Qd4,306.0,hd,youtube#video
499,StSU7O0nn2E,55.0,hd,youtube#video
500,ruAXymlqtHE,152.0,hd,youtube#video
501,bHnh5BBVahQ,54.0,hd,youtube#video
502,BSfBqsxwlc4,86.0,hd,youtube#video
503,sgJvy8LFub8,60.0,hd,youtube#video
504,_FpT1cwcSLg,2603.0,hd,youtube#video
505,aPV82HQCZZk,29.0,hd,youtube#video
506,zTPqjxft0Ko,212.0,hd,youtube#video
507,PdR_Af96KPA,58.0,hd,youtube#video
508,qGKjwdPnZy0,785.0,hd,youtube#video
509,bQWD_m4-src,214.0,hd,youtube#video
510,umS5ZwmD3cI,55.0,hd,youtube#video
511,y6c2zn8n1Ek,106.0,hd,youtube#video
512,4qcgqOCDv2c,624.0,hd,youtube#video
513,g7iptPq87Rs,59.0,hd,youtube#video
514,AWNL7NnQvz8,4727.0,hd,youtube#video
515,JmT7tlRT8_M,150.0,hd,youtube#video
516,-dBLjiNEH44,185.0,hd,youtube#video
